,font,size,y1,y2,x1,x2,char,xspace,yspace
183,XPCBJJ+CMR10,9.963,516.739,526.702,164.293,169.275,o,0.0,0.0
184,XPCBJJ+CMR10,9.963,516.739,526.702,169.275,173.17700000000002,r,4.183999999999969,0.0
185,XPCBJJ+CMR10,9.963,516.739,526.702,177.361,183.588,L,0.0,0.0
186,XPCBJJ+CMR10,9.963,516.739,526.702,183.588,186.356,i,0.0,0.0
187,XPCBJJ+CMR10,9.963,516.739,526.702,186.356,191.33700000000002,g,0.0,0.0
188,XPCBJJ+CMR10,9.963,516.739,526.702,191.33700000000002,196.872,h,-0.2790000000000248,0.0
189,XPCBJJ+CMR10,9.963,516.739,526.702,196.593,200.468,t,-0.27899999999996794,0.0
190,XPCBJJ+CMR10,9.963,516.739,526.702,200.18900000000002,207.38400000000001,w,-0.2790000000000248,0.0
191,XPCBJJ+CMR10,9.963,516.739,526.702,207.105,211.532,e,0.009999999999990905,0.0
192,XPCBJJ+CMR10,9.963,516.739,526.702,211.542,214.31,i,0.0,0.0
193,XPCBJJ+CMR10,9.963,516.739,526.702,214.31,219.291,g,0.0,0.0
194,XPCBJJ+CMR10,9.963,516.739,526.702,219.291,224.826,h,-0.27899999999999636,0.0
195,XPCBJJ+CMR10,9.963,516.739,526.702,224.547,228.422,t,4.173999999999978,0.0
196,XPCBJJ+CMR10,9.963,516.739,526.702,232.59599999999998,239.377,P,0.0,0.0
197,XPCBJJ+CMR10,9.963,516.739,526.702,239.377,246.987,D,0.0,0.0
198,XPCBJJ+CMR10,9.963,516.739,526.702,246.987,253.49099999999999,F,4.184000000000026,0.0
199,XPCBJJ+CMR10,9.963,516.739,526.702,257.675,262.656,a,0.0,0.0
200,XPCBJJ+CMR10,9.963,516.739,526.702,262.656,268.191,n,0.0,0.0
201,XPCBJJ+CMR10,9.963,516.739,526.702,268.191,273.72700000000003,d,4.183999999999969,0.0
202,XPCBJJ+CMR10,9.963,516.739,526.702,277.911,285.383,X,0.0,0.0
203,XPCBJJ+CMR10,9.963,516.739,526.702,285.383,292.163,P,0.0,0.0
204,XPCBJJ+CMR10,9.963,516.739,526.702,292.163,297.699,S,4.173999999999978,0.0
205,XPCBJJ+CMR10,9.963,516.739,526.702,301.873,307.131,v,0.0,0.0
