page,txtbox,textline,font,szie,x1,y1,x2,y2,char
1,3,6,WMHEFG+CMR10,9.963,285.383,613.183,292.163,623.146,P
1,3,6,WMHEFG+CMR10,9.963,292.163,613.183,297.699,623.146,S
1,3,6,WMHEFG+CMR10,9.963,301.873,613.183,307.131,623.146,v
1,3,6,WMHEFG+CMR10,9.963,307.131,613.183,309.899,623.146,i
1,3,6,WMHEFG+CMR10,9.963,309.899,613.183,314.326,623.146,e
1,3,6,WMHEFG+CMR10,9.963,314.326,613.183,321.521,623.146,w
1,3,6,WMHEFG+CMR10,9.963,321.242,613.183,325.670,623.146,e
1,3,6,WMHEFG+CMR10,9.963,325.670,613.183,329.572,623.146,r
1,3,6,WMHEFG+CMR10,9.963,333.756,613.183,341.228,623.146,A
1,3,6,WMHEFG+CMR10,9.963,345.412,613.183,349.287,623.146,t
1,3,6,WMHEFG+CMR10,9.963,349.287,613.183,354.268,623.146,a
1,3,6,WMHEFG+CMR10,9.963,354.268,613.183,359.803,623.146,b
1,3,6,WMHEFG+CMR10,9.963,359.803,613.183,365.339,623.146,b
1,3,6,WMHEFG+CMR10,9.963,365.608,613.183,370.035,623.146,e
1,3,6,WMHEFG+CMR10,9.963,370.035,613.183,375.570,623.146,d
1,3,6,WMHEFG+CMR10,9.963,379.755,613.183,386.535,623.146,P
1,3,6,WMHEFG+CMR10,9.963,386.535,613.183,394.146,623.146,D
1,3,6,WMHEFG+CMR10,9.963,394.146,613.183,400.649,623.146,F
1,3,6,WMHEFG+CMR10,9.963,404.833,613.183,410.092,623.146,v
1,3,6,WMHEFG+CMR10,9.963,410.092,613.183,412.859,623.146,i
1,3,6,WMHEFG+CMR10,9.963,412.859,613.183,417.287,623.146,e
1,3,6,WMHEFG+CMR10,9.963,417.287,613.183,424.482,623.146,w
1,3,6,WMHEFG+CMR10,9.963,424.203,613.183,428.630,623.146,e
1,3,6,WMHEFG+CMR10,9.963,428.630,613.183,432.532,623.146,r
1,3,6,WMHEFG+CMR10,9.963,436.717,613.183,442.252,623.146,u
1,3,6,WMHEFG+CMR10,9.963,442.252,613.183,446.181,623.146,s
1,3,6,WMHEFG+CMR10,9.963,446.181,613.183,448.949,623.146,i
1,3,6,WMHEFG+CMR10,9.963,448.949,613.183,454.484,623.146,n
1,3,6,WMHEFG+CMR10,9.963,454.484,613.183,459.465,623.146,g
1,3,6,WMHEFG+CMR10,9.963,463.640,613.183,467.514,623.146,t
1,3,6,WMHEFG+CMR10,9.963,467.514,613.183,473.049,623.146,h
1,3,6,WMHEFG+CMR10,9.963,473.049,613.183,477.477,623.146,e
1,3,7,WMHEFG+CMR10,9.963,133.768,601.228,139.303,611.191,p
1,3,7,WMHEFG+CMR10,9.963,139.582,601.228,144.563,611.191,o
1,3,7,WMHEFG+CMR10,9.963,144.563,601.228,150.099,611.191,p
1,3,7,WMHEFG+CMR10,9.963,150.099,601.228,155.634,611.191,p
1,3,7,WMHEFG+CMR10,9.963,155.634,601.228,158.402,611.191,l
1,3,7,WMHEFG+CMR10,9.963,158.402,601.228,162.829,611.191,e
1,3,7,WMHEFG+CMR10,9.963,162.829,601.228,166.731,611.191,r
1,3,7,WMHEFG+CMR10,9.963,169.262,601.228,172.029,611.191,l
1,3,7,WMHEFG+CMR10,9.963,172.029,601.228,174.797,611.191,i
1,3,7,WMHEFG+CMR10,9.963,174.797,601.228,180.332,611.191,b
1,3,7,WMHEFG+CMR10,9.963,180.332,601.228,184.235,611.191,r
1,3,7,WMHEFG+CMR10,9.963,184.235,601.228,189.216,611.191,a
1,3,7,WMHEFG+CMR10,9.963,189.216,601.228,193.118,611.191,r
1,3,7,WMHEFG+CMR10,9.963,193.118,601.228,198.376,611.191,y
